Company,Company ID,Country,Country GDP $,Not IFRS,Industry group,ICB code,Industry description,Listing status,2009 R&D investment,1 Yr R&D investment growth%,4 Yr R&D investment growth%,R&D investment / operation profit%,R&D investment / sales%,R&D + capex / sales%,Operating profit,If made profit,1 Yr operating profit%,4 Yr operating profit%,Operating profit / sales%,Sales,1 Yr sales growth%,4 Yr sales growth%,Employees,1 Yr employees growth%,4 Yr employees growth%,R&D / employees ,1 Yr R&D / employees growth%,4 Yr R&D / employees growth%,Sales outside region%,Market cap,Market cap change%,If market cap increase,R&D spend 2008,R&D spend 2007,R&D spend 2006,R&D spend 2005
"Infosys Technologies, India",195,India,1544380310593.35,*,37,9537,Software,FT Global 500,55.23,67,137,6.0,1.8,6.0,927,Yes,8,59,30.6,3026,5,47,92688,-12,16,0.6,89,108,89,21023,39,Yes,33.00,26.22,20.49,13.57
"Opnext, USA",111,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,45.91,37,74,,23.2,25.7,-48,No,,,-24.2,198,0,16,554,-12,13,82.9,55,54,55,87,-28,No,33.47,23.73,22.05,
"Eltek, Norway",34,Norway,425768848675.368,,39,9578,Telecommunications equipment,Listed,47.07,38,96,,7.6,8.6,-1,No,,,-0.2,619,-3,45,3393,1,57,13.9,37,17,,105,-27,No,34.03,31.23,18.85,12.18
"Enzon Pharmaceuticals, USA",435,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,43.49,21,68,1262.7,38.0,39.8,3,Yes,14,-2,3.0,114,-6,20,317,-10,-9,137.2,34,89,,388,79,Yes,35.97,34.99,26.95,5.77
"Belgacom, Belgium",296,Belgium,467559394365.929,,12,6535,Fixed line telecommunications,Listed,47.09,29,27,4.2,0.9,8.4,1115,Yes,9,4,21.2,5262,0,1,16878,-3,-5,2.8,34,33,,7238,-3,No,36.43,36.43,36.43,39.09
"Cree, USA",113,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,44.19,21,33,231.8,12.6,22.3,19,Yes,148,-50,5.4,351,15,34,3172,0,50,13.9,21,-21,,3778,99,Yes,36.44,36.43,33.98,26.48
"Bally Technologies, USA",306,USA,14617299295858.1,*,41,5752,Gambling,Listed,47.85,27,54,36.4,8.7,12.6,132,Yes,5,281,24.0,547,-2,35,2907,3,33,16.5,23,14,,1123,-15,No,37.67,32.15,27.92,26.85
"Sun Pharmaceutical Industries, India",394,India,1544380310593.35,*,34,4577,Pharmaceuticals,Listed,44.18,16,46,18.4,7.8,17.7,240,Yes,22,133,42.2,569,27,105,8000,0,18,5.5,16,9,,4800,47,Yes,38.04,37.08,26.80,19.16
"Isis Pharmaceuticals, USA",428,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,48.01,26,21,,63.8,74.8,-17,No,,,-22.7,75,2,91,250,-17,-12,192.0,51,37,,515,,No,38.05,46.45,41.47,32.51
"Biovitrum (now Swedish Orphan Biovitrum), Sweden",423,Sweden,466459315772.176,,34,4573,Biotechnology,Listed,56.82,49,37,4586.1,50.5,57.9,1,Yes,,,1.1,112,14,14,433,-11,-23,131.2,67,77,,665,150,Yes,38.21,52.90,39.31,35.88
"Riverbed Technology, USA",35,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,46.11,20,125,734.4,18.9,21.2,6,Yes,,,2.6,244,18,131,1013,18,68,45.5,1,9,44,1510,73,Yes,38.49,25.88,12.70,5.06
"Alexion Pharmaceuticals, USA",424,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,50.73,31,10,94.1,21.2,30.3,54,Yes,152,,22.5,240,49,364,673,34,85,75.4,-2,-49,,3139,35,Yes,38.69,39.20,50.57,55.93
"Makita, Japan",533,Japan,5470777391091.97,*,20,3722,Durable household products,Listed,45.78,16,36,13.7,2.3,8.1,333,Yes,-25,6,17.0,1956,-14,12,10412,0,14,4.4,16,20,,2554,2,Yes,39.39,36.32,32.10,27.17
"United Online, USA",211,USA,14617299295858.1,*,37,9535,Internet,Listed,46.95,19,40,50.5,7.7,10.3,93,Yes,,231,15.2,613,48,78,1699,-14,41,27.6,39,-8,,268,-31,No,39.46,36.81,32.78,24.78
"Convergys, USA",639,USA,14617299295858.1,*,38,2791,Business support services,Listed,48.73,23,0,,2.8,5.4,-55,No,,-157,-3.1,1751,1,3,70000,-7,-4,0.7,32,4,,749,-9,No,39.57,54.56,52.57,47.62
"Technip, France",977,France,2592078593347.73,,32,573,Oil equipment & services,Listed,51.98,30,55,13.4,0.9,7.3,387,Yes,-37,17,6.7,5736,-14,-7,22949,1,10,2.3,29,40,,4342,8,Yes,39.89,37.32,31.01,26.12
"Intercell, Austria",421,Austria,384823184161.595,,34,4573,Biotechnology,Listed,58.90,44,98,,107.5,124.9,-29,No,,,-52.7,55,11,85,403,24,86,146.1,17,4,27,596,-44,No,40.81,29.63,24.97,23.40
"Talecris Biotherapeutics, USA",433,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,44.10,8,,20.7,4.6,9.5,213,Yes,74,,22.5,949,12,,5000,,,8.8,,,,1697,,No,40.87,37.98,,
"Deutsche Bank, Germany",249,Germany,3260114884059.16,,4,8355,Banks,FT Global 500,113.73,178,341,2.5,0.5,2.6,4603,Yes,,21,18.6,24783,107,14,79098,-1,10,1.4,181,329,,25930,4,Yes,40.87,28.43,8.00,
